STATEMENT,SUPPORTING DOC 1,SUPPORTING DOC 2,SUPPORTING DOC 3,JUDGEMENT,CONFIDENCE,DERIVATION STEP1,SUPPORTING SENT. FOR STEP1,DERIVATION STEP2,SUPPORTING SENT. FOR STEP2,DERIVATION STEP3,SUPPORTING SENT. FOR STEP3,SCORE,WikiHop ID
Racemization is an instance of Chemical reaction,"In chemistry , racemization refers to the conversion of an enantiomerically pure mixture ( one where only one enantiomer is present ) into a mixture where more than one of the enantiomers are present . An enantiomer , also known as an optical isomer , refers to a stereoisomer of a pair of molecules that are non-superimposable mirror images of each other . If the racemization results in a mixture where the D and L enantiomers are present in equal quantities , the resulting sample is described as racemic , a racemic mixture , or a racemate .","Chemistry is a branch of physical science that studies the composition, structure, properties and change of matter. Chemistry includes topics such as the properties of individual atoms, how atoms form chemical bonds to create chemical compounds, the interactions of substances through intermolecular forces that give matter its general properties, and the interactions between substances through chemical reactions to form different substances.","A chemical reaction is a process that leads to the transformation of one set of chemical substances to another. Classically, chemical reactions encompass changes that only involve the positions of electrons in the forming and breaking of chemical bonds between atoms, with no change to the nuclei (no change to the elements present), and can often be described by a chemical equation. Nuclear chemistry is a sub-discipline of chemistry that involves the chemical reactions of unstable and radioactive elements where both electronic and nuclear changes may occur.",TRUE,cf,Racemization is the conversion of an enantiomerically pure mixture into a mixture where more than one of the enantiomers are present .,"In chemistry , racemization refers to the conversion of an enantiomerically pure mixture ( one where only one enantiomer is present ) into a mixture where more than one of the enantiomers are present .",NA,NA,chemical reaction is a process that leads to the transformation of one set of chemical substances to another.,A chemical reaction is a process that leads to the transformation of one set of chemical substances to another.,1132,WH_train_21638
Fighting mccooks is an instance of Group,"The Fighting McCooks were members of a family of Ohioans who reached prominence as officers in the Union Army during the American Civil War . Two brothers , Daniel and John McCook , and thirteen of their sons were actively involved in the army , making the family one of the most prolific in American military history . Six of the McCooks reached the rank of brigadier general or higher . Several family members were killed in action or died from their wounds . Following the war , several others reached high political offices , including governorships and diplomatic posts .","Ohio is an Eastern state in the Great Lakes region of the United States. Ohio is the 34th largest by area, the 7th most populous, and the 10th most densely populated of the 50 United States. The state's capital and largest city is Columbus.","The Great Lakes (also called the Laurentian Great Lakes, or the Great Lakes of North America) are a series of interconnected freshwater lakes located primarily in the upper mid-east region of North America, on the Canada–United States border, which connect to the Atlantic Ocean through the Saint Lawrence River. Consisting of Lakes Superior, Michigan, Huron (or Michigan–Huron), Erie, and Ontario, they form the largest group of freshwater lakes on Earth, containing 21% of the world's surface fresh water by volume. The total surface is , and the total volume (measured at the low water datum) is . Due to their sea-like characteristics (rolling waves, sustained winds, strong currents, great depths, and distant horizons) the five Great Lakes have also long been referred to as 'inland seas'. Lake Superior is the second largest lake in the world by area, and Lake Michigan is the largest lake that is entirely within one country. The southern half of the Great Lakes is bordered by the Great Lakes Megalopolis.",TRUE,verycf,fighting mccooks were members of a family of ohioans which is a form of groups,The Fighting McCooks were members of a family of Ohioans who reached prominence as officers in the Union Army during the American Civil War .,NA,NA,,NA,1254,WH_train_34437
Coryphomys belongs to Murinae,"Coryphomys is an extinct genus of rats , known from sub-fossils found on Timor . Its name is Greek for `` top - of - the - head mouse '' or `` summit mouse '' . Species include Coryphomys buhleri and Coryphomys musseri . Archaeological research on East Timor has revealed the bones of rats weighting up to 6 kilograms = 13.2 pounds when adult . They seem to have died out between 1000 and 2000 years ago , perhaps due to large - scale forest clearance for farming . In 2015 , the discovery of fossils of `` seven new species of giant rat '' , including the `` largest rat ever '' on the island of East Timor was announced . The biggest of these rats was described as weighing `` five kilos ( 11 pounds ) , the size of a small dog , '' and was referred to as the `` Giant Rat '' in news stories .","Rats are various medium-sized, long-tailed rodents of the superfamily Muroidea. 'True rats' are members of the genus 'Rattus', the most important of which to humans are the black rat, 'Rattus rattus', and the brown rat, 'Rattus norvegicus'. Many members of other rodent genera and families are also referred to as rats, and share many characteristics with true rats.","The black rat ('Rattus rattus'), also known as the ship rat, roof rat, house rat, is a common long-tailed rodent of the genus 'Rattus' (rats) in the subfamily Murinae. The species originated in tropical Asia and spread through the Near East in Roman times before reaching Europe by the 1st century and spreading with Europeans across the world. ",TRUE,verycf,Coryphomys is an extinct genus of rats,"Coryphomys is an extinct genus of rats , known from sub-fossils found on Timor .",long-tailed ratsof the superfamily Muroidea.,"Rats are various medium-sized, long-tailed rodents of the superfamily Muroidea.",,NA,1374,WH_train_28858
A genre of Nang tard is Soap opera,"Nang Tard ( Thai : นางทาส , RTGS : Nang That , IPA : ( naːŋ tʰâːt ) - means The Slave Girl but international title The Slave ) is an award - winning Thai period drama lakorn , remade from a 1993 lakorn of the same name . The lakorn stars Suvanant Kongying and Vee Veerapat in the main roles with several talented actresses such as Pok Piyatida in the role of Khun Ying Yaem and May Bunthita as Boonmee . This lakorn is set in a time when slavery was still legal in Thailand .","Suvanant Kongying (born July 22, 1978 (age 38) in Bangkok, also known by her nickname Kob, is a Thai actress. She was the lead actress in many Thai lakorns in the 1990s-2000s. She has appeared in several 'lakorns' (dramas), including 'Dao pra sook' with Sornram Teppitak, in which she played Dao, the main character. She has been voted people's choice winner for top actress for many years. She's considered Thailand's most famous actress and her leading lakorn partner is Sornram Teppitak.",Dao Pra Sook (literally: 'Venus') is a Thai lakorn which has been remade several times. The latest of which aired on Thailand's channel 7 in 1994 and was one of the most popular lakorns in the country. It starred Sornram Teppitak as 'Phak' (Thai ภาคย์) and Suvanant Kongying as 'Daoprasook' (Thai ดาว). The plot is about a wealthy man who 'buys' a prostitute from a brothel and later falls in love with her. The shows were regarded by some as the most cliché (น้ำเน่า) soap opera in Thailand.,TRUE,verycf,Nang Tard is an award - winning Thai period drama lakorn,"Nang Tard ( Thai : นางทาส , RTGS : Nang That , IPA : ( naːŋ tʰâːt ) - means The Slave Girl but international title The Slave ) is an award - winning Thai period drama lakorn , remade from a 1993 lakorn of the same name .","Suvanant Kongying  in Bangkok, also known by her nickname Kob, is a Thai actress","Suvanant Kongying (born July 22, 1978 (age 38) in Bangkok, also known by her nickname Kob, is a Thai actress.",The shows were regarded by some cliché soap opera in Thailand,The shows were regarded by some as the most cliché (น้ำเน่า) soap opera in Thailand.,1302,WH_train_8284
Courtland bullard is educated at Ohio state university,"Courtland B. Bullard ( born September 2 , 1978 ) is a former American football linebacker in the National Football League . He was drafted by the St. Louis Rams in the fifth round of the 2002 NFL Draft . He played college football for the Ohio State Buckeyes .","The Ohio State Buckeyes are the athletic teams that represent The Ohio State University, named after the colloquial term for people from the state of Ohio and after the state tree, the Ohio Buckeye. The Buckeyes participate in the National Collegiate Athletic Association's (NCAA) Division I in all sports and the Big Ten Conference in most sports. The Ohio State women's ice hockey team competes in the Western Collegiate Hockey Association (WCHA). The school colors are scarlet and gray. Ohio State's mascot is Brutus Buckeye.",,likely,qualified_guess,Courtland Bullard played college football for the Ohio State Buckeyes.,He played college football for the Ohio State Buckeyes .,The Ohio State Buckeyes are the athletic teams that represent The Ohio State University.,"The Ohio State Buckeyes are the athletic teams that represent The Ohio State University, named after the colloquial term for people from the state of Ohio and after the state tree, the Ohio Buckeye.",,,1263,WH_train_17149
Obor metro station is a part of Bucharest metro,"Obor is a metro station in Bucharest , located next to one of the largest open - air markets in Bucharest , Obor . The station was closed for over 10 months , until May 25 , 2008 , for refurbishment and in order to facilitate the building of a new overground passage for the tram above ground . This station is painted in blue , with pillars separating the two parts of the station . It is currently served by the M1 line . Connections with RATB services are 1 , 21 , 46 ( trams ) , 330 and 335 ( busses ) .","Obor is the name of a square and the surrounding district of Bucharest, the capital of Romania. There is also a Bucharest Metro station named Obor, which lies in this area.",,TRUE,verycf,obor metro station is a metro station in Bucharest,"Obor is a metro station in Bucharest , located next to one of the largest open - air markets in Bucharest , Obor .",there is also a Bucharest Metro station named Obor,"There is also a Bucharest Metro station named Obor, which lies in this area.",,,1350,WH_train_33027
"Poonch district, pakistan is located in Azad kashmir","Poonch ( Urdu : ضلع پونچھ ‎ ) is one of the eight districts of Azad Jammu and Kashmir . Poonch district borders Indian - administered Kashmir and is part of the greater dispute between India and Pakistan . The capital of the district is Rawalakot with the Sudhan and Awan tribes being the dominant groups in the district . This region has produced numerous business , political and military leaders .","Kashmir is the northernmost geographical region of the Indian subcontinent. Until the mid-19th century, the term 'Kashmir' denoted only the valley between the Great Himalayas and the Pir Panjal mountain range. Today, it denotes a larger area that includes the Indian-administered territory of Jammu and Kashmir (subdivided into Jammu, Kashmir, and Ladakh divisions), the Pakistani-administered territories of Azad Kashmir and Gilgit-Baltistan, and Chinese-administered territories of Aksai Chin and the Trans-Karakoram Tract. ",,TRUE,verycf,"poonch district, pakistan is one of the eight districts of Azad Jammu and Kashmir",Poonch ( Urdu : ضلع پونچھ ‎ ) is one of the eight districts of Azad Jammu and Kashmir .,"Today, it denotes a larger area that includes the Indian-administered territory of Jammu and Kashmir . the Pakistani-administered territories of Azad Kashmir","Today, it denotes a larger area that includes the Indian-administered territory of Jammu and Kashmir (subdivided into Jammu, Kashmir, and Ladakh divisions), the Pakistani-administered territories of Azad Kashmir and Gilgit-Baltistan, and Chinese-administered territories of Aksai Chin and the Trans-Karakoram Tract.",,,1141,WH_train_19314
Starship exeter's original network is World wide web,"Starship Exeter is a Star Trek fan film project , one of the earliest of the semi-professional fan film projects that have become an increasingly common fixture of the internet video scene . As with many other fanfilms , it created an entirely new series around an event of an established franchise . Starship Exeter is set within the continuity of the original Star Trek TV series , and features the new crew of a sister - ship to the famous USS Enterprise , the titular USS Exeter , whose previous crew were exterminated in the Star Trek episode `` The Omega Glory '' . The films and their original characters are the brainchild of brothers Jimm and Joshua Johnson , who acted as producers and starred in the films , acting under pseudonyms .","The Internet is the global system of interconnected computer networks that use the Internet protocol suite (TCP/IP) to link devices worldwide. It is a 'network of networks' that consists of private, public, academic, business, and government networks of local to global scope, linked by a broad array of electronic, wireless, and optical networking technologies. The Internet carries an extensive range of information resources and services, such as the inter-linked hypertext documents and applications of the World Wide Web (WWW), electronic mail, telephony, and peer-to-peer networks for file sharing.",,likely,cf,Starship Exeter is a one of the earliest of the semi-professional fan film projects that have become an increasingly common fixture of the internet video scene.,"Starship Exeter is a Star Trek fan film project , one of the earliest of the semi-professional fan film projects that have become an increasingly common fixture of the internet video scene .","The Internet carries an extensive range of information resources and services, such as the inter-linked hypertext documents and applications of the World Wide Web (WWW).","The Internet carries an extensive range of information resources and services, such as the inter-linked hypertext documents and applications of the World Wide Web (WWW), electronic mail, telephony, and peer-to-peer networks for file sharing.",,,1006,WH_train_17134
David e. evans's occupation is Mathematician,"David E. Evans is a professor of mathematics at Cardiff University , specialising in knot theory . He has published a number of books , many in collaboration with Yasuyuki Kawahigashi . He studied at New College , Oxford and Jesus College , Oxford . In 1989 , Evans won the London Mathematical Society Whitehead Prize .","In topology, knot theory is the study of mathematical knots. While inspired by knots which appear in daily life in shoelaces and rope, a mathematician's knot differs in that the ends are joined together so that it cannot be undone. In mathematical language, a knot is an embedding of a circle in 3-dimensional Euclidean space, R (in topology, a circle isn't bound to the classical geometric concept, but to all of its homeomorphisms). Two mathematical knots are equivalent if one can be transformed into the other via a deformation of R upon itself (known as an ambient isotopy); these transformations correspond to manipulations of a knotted string that do not involve cutting the string or passing the string through itself.",,TRUE,bet,David E. Evans is a professor of mathematics.,"David E. Evans is a professor of mathematics at Cardiff University , specialising in knot theory .",,NA,,,1359,WH_train_38104
Wyfe is located in Florida,"WYFE is a non-commercial radio station in Tarpon Springs , broadcasting to the Tampa - St. Petersburg - Clearwater area on 88.9 FM . It is part of the Bible Broadcasting Network , along with Belleview - based WYFZ , Gainesville - based WYFB , Lakeland - based WYFO , and Port St. Joe - based WDBW - LP . WYFE 's format is religious programming , and the station is broadcast on translators in Crystal River ( 100.9 FM ) and Leesburg ( 99.3 FM ) .","WYFZ is a non-commercial radio station in Belleview, Florida, broadcasting to the Gainesville-Ocala, Florida area on 91.3 FM. It is part of the Bible Broadcasting Network, along with Gainesville-based WYFB, Lakeland-based WYFO, Port St. Joe-based WDBW-LP and Tarpon Springs-based WYFE. WYFZ's format is religious programming. ",,TRUE,cf,"WYFE is a non-commercial radio station in Tarpon Springs , broadcasting to the Tampa","WYFE is a non-commercial radio station in Tarpon Springs , broadcasting to the Tampa - St. Petersburg - Clearwater area on 88.9 FM .","WYFZ is a radio station in Belleview, Florida","WYFZ is a non-commercial radio station in Belleview, Florida, broadcasting to the Gainesville-Ocala, Florida area on 91.3 FM.",,,1306,WH_train_23447
Independent democrats's headquarter is located in Cape town,"The Independent Democrats was a South African political party , formed by former Pan Africanist Congress member Patricia de Lille in 2003 via floor crossing legislation . The party 's platform is premised on opposition to corruption , with a mixture of right - liberal proposals and left - wing sensibilities . The party 's strongholds were the Northern and Western Cape . On 15 August 2010 , the party announced plans to merge with the larger Democratic Alliance as part of a plan to challenge the governing African National Congress ( ANC ) . The party disbanded as a separate political organization in 2014 .","Patricia de Lille (born 17 February 1951) is a South African politician and Mayor of Cape Town. She was the founder and the leader of the Independent Democrats, a South African political party which she formed in 2003 during a floor-crossing window. On 15 August 2010, the ID merged with the Democratic Alliance, South Africa's official opposition, and de Lille took on dual party membership until her party was fully dissolved in May 2014.",,TRUE,verycf,independent democrats headquater is in  Western Cape town,The party 's strongholds were the Northern and Western Cape .,,NA,,,1323,WH_train_28811
